ID	Genus	value	Group
SY18	Porphyromonas	0.002924178	CT1
SY18	Fusobacterium	0.002058342	CT1
SY18	Stenotrophomonas	0	CT1
SY18	Moraxella	0.007906697	CT1
SY18	Anaerococcus	0.009530535	CT1
SY18	Sphingomonas	0.004873629	CT1
SY18	Peptoniphilus	0.045922062	CT1
SY18	others	0.123470912	CT1
SY19	Corynebacterium	0.890569695	CT1
SY19	Propionibacterium	0.005145755	CT1
SY19	Staphylococcus	0.024220863	CT1
SY19	Streptococcus	0.013595266	CT1
SY19	Lactobacillus	0	CT1
SY19	Alloiococcus	0.002510173	CT1
SY19	Prevotella	0.002007537	CT1
SY19	Haemophilus	0.002844261	CT1
SY19	Bacteroides	0.000292954	CT1
SY19	Porphyromonas	0.001882128	CT1
SY19	Fusobacterium	0.002133948	CT1
SY19	Stenotrophomonas	0	CT1
SY19	Moraxella	0.001338358	CT1
SY19	Anaerococcus	0	CT1
SY19	Sphingomonas	0.001170812	CT1
SY19	Peptoniphilus	0	CT1
SY19	others	0.052288251	CT1
SY20	Corynebacterium	0.014079815	CT2
SY20	Propionibacterium	0.001699823	CT2
SY20	Staphylococcus	0.005002421	CT2
SY20	Streptococcus	0.955348389	CT2
SY20	Lactobacillus	0	CT2
SY20	Alloiococcus	0.0068173	CT2
SY20	Prevotella	0.00324457	CT2
SY20	Haemophilus	0.000907439	CT2
SY20	Bacteroides	0	CT2
SY20	Porphyromonas	0.000656318	CT2
SY20	Fusobacterium	0	CT2
SY20	Stenotrophomonas	0	CT2
SY20	Moraxella	0	CT2
SY20	Anaerococcus	0.001679813	CT2
SY20	Sphingomonas	0	CT2
SY20	Peptoniphilus	0.001853897	CT2
SY20	others	0.008710216	CT2
SY21	Corynebacterium	0.949971749	CT1
SY21	Propionibacterium	0.008570386	CT1
SY21	Staphylococcus	0.030296363	CT1
SY21	Streptococcus	0.003214145	CT1
SY21	Lactobacillus	0	CT1
SY21	Alloiococcus	0.001928087	CT1
SY21	Prevotella	0	CT1
SY21	Haemophilus	2.10E-05	CT1
SY21	Bacteroides	0	CT1
SY21	Porphyromonas	0.000578026	CT1
SY21	Fusobacterium	0	CT1
SY21	Stenotrophomonas	0	CT1
SY21	Moraxella	0.000921041	CT1
SY21	Anaerococcus	0	CT1
SY21	Sphingomonas	4.30E-05	CT1
SY21	Peptoniphilus	0.000471021	CT1
SY21	others	0.003985179	CT1
SY22	Corynebacterium	0.229896975	CT2
SY22	Propionibacterium	0.003455803	CT2
SY22	Staphylococcus	0.536706959	CT2
SY22	Streptococcus	0.122723787	CT2
SY22	Lactobacillus	0.00026591	CT2
SY22	Alloiococcus	0.012915201	CT2
SY22	Prevotella	0.004629725	CT2
SY22	Haemophilus	0.001838698	CT2
SY22	Bacteroides	0	CT2
SY22	Porphyromonas	0	CT2
SY22	Fusobacterium	0.001484151	CT2
SY22	Stenotrophomonas	0	CT2
SY22	Moraxella	0.005847965	CT2
SY22	Anaerococcus	0.005826321	CT2
SY22	Sphingomonas	0.000398865	CT2
SY22	Peptoniphilus	0.005604729	CT2
SY22	others	0.068404909	CT2
SY23	Corynebacterium	0.354640191	CT1
SY23	Propionibacterium	0.056452962	CT1
SY23	Staphylococcus	0.047336258	CT1
SY23	Streptococcus	0.046403448	CT1
SY23	Lactobacillus	0	CT1
SY23	Alloiococcus	0.004942148	CT1
SY23	Prevotella	0.031136766	CT1
SY23	Haemophilus	0.004228944	CT1
SY23	Bacteroides	0.002746094	CT1
SY23	Porphyromonas	0.072597039	CT1
SY23	Fusobacterium	0.009610303	CT1
SY23	Stenotrophomonas	0.006205393	CT1
SY23	Moraxella	0.002306883	CT1
SY23	Anaerococcus	0.008181842	CT1
SY23	Sphingomonas	0.010159317	CT1
SY23	Peptoniphilus	0.000658816	CT1
SY23	others	0.342393597	CT1
SY24	Corynebacterium	0.983209944	CT1
SY24	Propionibacterium	0.000905513	CT1
SY24	Staphylococcus	0	CT1
SY24	Streptococcus	0.002856774	CT1
SY24	Lactobacillus	0	CT1
SY24	Alloiococcus	0.001486484	CT1
SY24	Prevotella	0	CT1
SY24	Haemophilus	0.000464777	CT1
SY24	Bacteroides	0	CT1
SY24	Porphyromonas	0.000255427	CT1
SY24	Fusobacterium	0	CT1
SY24	Stenotrophomonas	0	CT1
SY24	Moraxella	0.000743242	CT1
SY24	Anaerococcus	0.003552937	CT1
SY24	Sphingomonas	0	CT1
SY24	Peptoniphilus	0.003181316	CT1
SY24	others	0.003343587	CT1
SY25	Corynebacterium	0.752309376	CT1
SY25	Propionibacterium	0.005360083	CT1
SY25	Staphylococcus	0.091772754	CT1
SY25	Streptococcus	0.009011524	CT1
SY25	Lactobacillus	0.000569547	CT1
SY25	Alloiococcus	0.007173022	CT1
SY25	Prevotella	0.006422487	CT1
SY25	Haemophilus	0.002123787	CT1
SY25	Bacteroides	0	CT1
SY25	Porphyromonas	0.008312116	CT1
SY25	Fusobacterium	0	CT1
SY25	Stenotrophomonas	0.004091128	CT1
SY25	Moraxella	0.012326554	CT1
SY25	Anaerococcus	0.010720165	CT1
SY25	Sphingomonas	0.002046075	CT1
SY25	Peptoniphilus	0.01608127	CT1
SY25	others	0.071680113	CT1
SY26	Corynebacterium	0.911919938	CT1
SY26	Propionibacterium	0.00140524	CT1
SY26	Staphylococcus	0.052801029	CT1
SY26	Streptococcus	0.004731809	CT1
SY26	Lactobacillus	0	CT1
SY26	Alloiococcus	0.02333199	CT1
SY26	Prevotella	0.000125021	CT1
SY26	Haemophilus	0.001031176	CT1
SY26	Bacteroides	0	CT1
SY26	Porphyromonas	0.000546093	CT1
SY26	Fusobacterium	0	CT1
SY26	Stenotrophomonas	0	CT1
SY26	Moraxella	0.000656112	CT1
SY26	Anaerococcus	0.001312224	CT1
SY26	Sphingomonas	0	CT1
SY26	Peptoniphilus	0.000328056	CT1
SY26	others	0.00181131	CT1
SY27	Corynebacterium	0.791458568	CT1
SY27	Propionibacterium	0.004587165	CT1
SY27	Staphylococcus	0.183860782	CT1
SY27	Streptococcus	0.006360002	CT1
SY27	Lactobacillus	0	CT1
SY27	Alloiococcus	0.003414612	CT1
SY27	Prevotella	0	CT1
SY27	Haemophilus	0.001641775	CT1
SY27	Bacteroides	0	CT1
SY27	Porphyromonas	0.000990468	CT1
SY27	Fusobacterium	0.000208098	CT1
SY27	Stenotrophomonas	0	CT1
SY27	Moraxella	0.000912431	CT1
SY27	Anaerococcus	0.000703332	CT1
SY27	Sphingomonas	0.000182086	CT1
SY27	Peptoniphilus	0.000417197	CT1
SY27	others	0.005263484	CT1
SY28	Corynebacterium	0.867118887	CT1
SY28	Propionibacterium	0.000809037	CT1
SY28	Staphylococcus	0.004030185	CT1
SY28	Streptococcus	0.005251242	CT1
SY28	Lactobacillus	0	CT1
SY28	Alloiococcus	0.098654538	CT1
SY28	Prevotella	0.008516392	CT1
SY28	Haemophilus	0.00064703	CT1
SY28	Bacteroides	0	CT1
SY28	Porphyromonas	0.000632029	CT1
SY28	Fusobacterium	0	CT1
SY28	Stenotrophomonas	0	CT1
SY28	Moraxella	0.001677077	CT1
SY28	Anaerococcus	0.003442158	CT1
SY28	Sphingomonas	0	CT1
SY28	Peptoniphilus	0.002986137	CT1
SY28	others	0.006235287	CT1
SY29	Corynebacterium	0.885182118	CT1
SY29	Propionibacterium	0.003209668	CT1
SY29	Staphylococcus	0.013539816	CT1
SY29	Streptococcus	0.00370377	CT1
SY29	Lactobacillus	0	CT1
SY29	Alloiococcus	0.002798582	CT1
SY29	Prevotella	0	CT1
SY29	Haemophilus	0.001564325	CT1
SY29	Bacteroides	0	CT1
SY29	Porphyromonas	0.000699145	CT1
SY29	Fusobacterium	0	CT1
SY29	Stenotrophomonas	0	CT1
SY29	Moraxella	0.000946197	CT1
SY29	Anaerococcus	0.020988366	CT1
SY29	Sphingomonas	8.20E-05	CT1
SY29	Peptoniphilus	0.025927393	CT1
SY29	others	0.041358603	CT1
SY30	Corynebacterium	0.063174967	CT1
SY30	Propionibacterium	0.003583267	CT1
SY30	Staphylococcus	0.044268294	CT1
SY30	Streptococcus	0.003103808	CT1
SY30	Lactobacillus	0.00308759	CT1
SY30	Alloiococcus	0.007331759	CT1
SY30	Prevotella	0	CT1
SY30	Haemophilus	0.022902497	CT1
SY30	Bacteroides	0	CT1
SY30	Porphyromonas	0.00102379	CT1
SY30	Fusobacterium	0.000957903	CT1
SY30	Stenotrophomonas	0.00137046	CT1
SY30	Moraxella	0.809119844	CT1
SY30	Anaerococcus	0.010138566	CT1
SY30	Sphingomonas	0.001486017	CT1
SY30	Peptoniphilus	0.004292824	CT1
SY30	others	0.024158414	CT1
SY31	Corynebacterium	0.011864388	CT2
SY31	Propionibacterium	0.001716201	CT2
SY31	Staphylococcus	0.007396865	CT2
SY31	Streptococcus	0.006331741	CT2
SY31	Lactobacillus	0	CT2
SY31	Alloiococcus	0.004408516	CT2
SY31	Prevotella	0.000473055	CT2
SY31	Haemophilus	0.940354021	CT2
SY31	Bacteroides	0	CT2
SY31	Porphyromonas	0.002012235	CT2
SY31	Fusobacterium	0.000237028	CT2
SY31	Stenotrophomonas	0.000118014	CT2
SY31	Moraxella	0.003905457	CT2
SY31	Anaerococcus	0.001242145	CT2
SY31	Sphingomonas	0	CT2
SY31	Peptoniphilus	0.000444052	CT2
SY31	others	0.019496281	CT2
SY32	Corynebacterium	0.454573229	CT1
SY32	Propionibacterium	0.002160652	CT1
SY32	Staphylococcus	0.015205698	CT1
SY32	Streptococcus	0.004050846	CT1
SY32	Lactobacillus	0	CT1
SY32	Alloiococcus	0	CT1
SY32	Prevotella	0.001133916	CT1
SY32	Haemophilus	0.003321614	CT1
SY32	Bacteroides	0	CT1
